Path,AOM,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,Edge_Value,Synonym,Description,Notes,Example Units,Ontology,Agrovoc,Group,Scientific Name,NCBI,Sex,ERA.Field,ERA_Code,C or E,WFO,Feedipedia,CPC_Code_Product,CPC_Code_Component,CPC_Code_Product_Match,CPC_Code_Component_Match,Ani_Diet_Spp_Syn,Is_Ani_Diet_Ingredient,ilri_code,Column1,Column2,Column3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Cowpea/Cowpea Haulm,AOM_000601,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Cowpea,Cowpea Haulm,,Cowpea Haulm,,,,,,,,Vigna unguiculata,http://purl.obolibrary.org/obo/NCBITaxon_3917,,,,,wfo-0000189386,https://www.feedipedia.org/node/17446,No match,No match,,,Vigna unguiculata Haulm,Cowpea Haulm,FEED0428,,,Vigna unguiculata Haulm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Cowpea/Cowpea Husk/Cowpea Husk Crushed,AOM_006079,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Cowpea,Cowpea Husk,Cowpea Husk Crushed,Cowpea Husk Crushed,,,,,,,,Vigna unguiculata,http://purl.obolibrary.org/obo/NCBITaxon_3917,,,,,wfo-0000189386,https://www.feedipedia.org/node/17447,No match,No match,,,Vigna unguiculata Husk,No Match,No Match,,,Vigna unguiculata Husk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Cowpea/Cowpea Husk/Cowpea Husk Ground,AOM_002019,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Cowpea,Cowpea Husk,Cowpea Husk Ground,Cowpea Husk Ground,Cowpea Husk Meal; Cowpea Husk Milled,,,,,,,Vigna unguiculata,http://purl.obolibrary.org/obo/NCBITaxon_3917,,,,,wfo-0000189386,https://www.feedipedia.org/node/17447,No match,No match,,,Vigna unguiculata Husk,No Match,No Match,,,Vigna unguiculata Husk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Cowpea/Cowpea Husk,AOM_000602,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Cowpea,Cowpea Husk,,Cowpea Husk,,,,,,,,Vigna unguiculata,http://purl.obolibrary.org/obo/NCBITaxon_3917,,,,,wfo-0000189386,https://www.feedipedia.org/node/17447,No match,No match,,,Vigna unguiculata Husk,Cowpea Husk,No Match,,,Vigna unguiculata Husk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Cowpea/Cowpea Leaves,AOM_001263,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Cowpea,Cowpea Leaves,,Cowpea Leaves,,,,,,,,Vigna unguiculata,http://purl.obolibrary.org/obo/NCBITaxon_3917,,,,,wfo-0000189386,No match,No match,No match,,,Vigna unguiculata Leaves,Cowpea Leaves,FEED0354,,,Vigna unguiculata Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Cowpea/Cowpea Residue,AOM_003927,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Cowpea,Cowpea Residue,,Cowpea Residue,,,,,,,,Vigna unguiculata,http://purl.obolibrary.org/obo/NCBITaxon_3917,,,,,wfo-0000189386,No match,No match,No match,,,Vigna unguiculata Residue,Cowpea Residue,FEED0326,,,Vigna unguiculata Residue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Cowpea/Cowpea Vine,AOM_001189,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Cowpea,Cowpea Vine,,Cowpea Vine,,,,,,,,Vigna unguiculata,http://purl.obolibrary.org/obo/NCBITaxon_3917,,,,,wfo-0000189386,No match,No match,No match,,,Vigna unguiculata Vine,Cowpea Vine,FEED0326,,,Vigna unguiculata Vine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Fava Bean/Fava Bean Haulm,AOM_000603,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Fava Bean,Fava Bean Haulm,,Fava Bean Haulm,,,,,,,,Vicia faba,http://purl.obolibrary.org/obo/NCBITaxon_3906 ,,,,,wfo-0000212739,https://www.feedipedia.org/node/19702,No match,No match,,,Vicia faba Haulm,Fava Bean Haulm,FEED0417,,,Vicia faba Haulm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Grass Pea/Grass Pea Haulm,AOM_003210,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Grass Pea,Grass Pea Haulm,,Grass Pea Haulm,Indian Pea Haulm,,,,,,,Lathyrus sativus,http://purl.obolibrary.org/obo/NCBITaxon_3860 ,,,,,wfo-0000212703,No match,No match,No match,,,Lathyrus sativus Haulm,Grass Pea Haulm,No Match,,,Lathyrus sativus Haulm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Grass Pea,AOM_003209,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Grass Pea,,,Grass Pea,Indian Pea ,,,,,,,Lathyrus sativus,http://purl.obolibrary.org/obo/NCBITaxon_3860 ,,,,,wfo-0000212703,https://www.feedipedia.org/node/285,No match,No match,,,Lathyrus sativus,Grass Pea,FEED0684,,,Lathyrus sativus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Green Bean /Green Bean Vine/Green Bean Vine Dried,AOM_006108,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Green Bean ,Green Bean Vine,Green Bean Vine Dried,Green Bean Vine Dried,,,,,,,,Phaseolus vulgaris,http://purl.obolibrary.org/obo/NCBITaxon_3885 ,,,,,wfo-0000207144,No match,01241,No match,"Beans, green",,Phaseolus vulgaris Vine,No Match,No Match,,,Phaseolus vulgaris Vine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Green Bean /Green Bean Vine,AOM_003960,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Green Bean ,Green Bean Vine,,Green Bean Vine,,,,,,,,Phaseolus vulgaris,http://purl.obolibrary.org/obo/NCBITaxon_3885 ,,,,,wfo-0000207144,No match,01241,No match,"Beans, green",,Phaseolus vulgaris Vine,Green Bean Vine,No Match,,,Phaseolus vulgaris Vine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Cake/Groundnut Cake Ground,AOM_001660,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Groundnut,Groundnut Cake,Groundnut Cake Ground,Groundnut Cake Ground,Groundnut Cake Meal; Peanut Cake Meal,,,,,,,Arachis hypogaea,http://purl.obolibrary.org/obo/NCBITaxon_3818,,,,,wfo-0000174378,No match,0142,2191,Groundnuts,"Oil-cake and other solid residues, of vegetable fats",Arachis hypogaea Cake,No Match,FEED0018,,,Arachis hypogaea Cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Cake,AOM_001254,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Groundnut,Groundnut Cake,,Groundnut Cake,Peanut Cake; Goober Cake,,,,,http://aims.fao.org/aos/agrovoc/c_35679,,Arachis hypogaea,http://purl.obolibrary.org/obo/NCBITaxon_3818,,,,,wfo-0000174378,No match,0142,2191,Groundnuts,"Oil-cake and other solid residues, of vegetable fats",Arachis hypogaea Cake,Groundnut Cake,FEED0018,,,Arachis hypogaea Cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Haulm/Groundnut Haulm Crushed,AOM_006110,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Groundnut,Groundnut Haulm,Groundnut Haulm Crushed,Groundnut Haulm Crushed,Peanut Haulms Crushed; Goober Haulms Crushed,,,,,,,Arachis hypogaea,http://purl.obolibrary.org/obo/NCBITaxon_3818,,,,,wfo-0000174378,No match,0142,No match,Groundnuts,,Arachis hypogaea Haulm,No Match,FEED0415,,,Arachis hypogaea Haulm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Haulm/Groundnut Haulm Dried,AOM_006111,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Groundnut,Groundnut Haulm,Groundnut Haulm Dried,Groundnut Haulm Dried,Peanut Haulms Dried; Goober Haulms Dried,,,,,,,Arachis hypogaea,http://purl.obolibrary.org/obo/NCBITaxon_3818,,,,,wfo-0000174378,No match,0142,No match,Groundnuts,,Arachis hypogaea Haulm,No Match,No match,,,Arachis hypogaea Haulm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Haulm/Groundnut Haulm Ensiled,AOM_006112,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Groundnut,Groundnut Haulm,Groundnut Haulm Ensiled,Groundnut Haulm Ensiled,Peanut Haulms Silage; Goober Haulms Silage,,,,,,,Arachis hypogaea,http://purl.obolibrary.org/obo/NCBITaxon_3818,,,,,wfo-0000174378,No match,0142,No match,Groundnuts,,Arachis hypogaea Haulm,No Match,No match,,,Arachis hypogaea Haulm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Haulm,AOM_000604,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Groundnut,Groundnut Haulm,,Groundnut Haulm,Peanut Haulms; Goober Haulms,,,,,,,Arachis hypogaea,http://purl.obolibrary.org/obo/NCBITaxon_3818,,,,,wfo-0000174378,No match,0142,No match,Groundnuts,,Arachis hypogaea Haulm,Groundnut Haulm,FEED0415,,,Arachis hypogaea Haulm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Hull/Groundnut Hull Crushed Dried,AOM_006113,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Groundnut,Groundnut Hull,Groundnut Hull Crushed Dried,Groundnut Hull Crushed Dried,Peanut Hull Crushed Dried; Goober Hull Crushed Dried,,,,,,,Arachis hypogaea,http://purl.obolibrary.org/obo/NCBITaxon_3818,,,,,wfo-0000174378,No match,0142,No match,Groundnuts,,Arachis hypogaea Hull,No Match,FEED0433,,,Arachis hypogaea Hull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Hull,AOM_000605,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Groundnut,Groundnut Hull,,Groundnut Hull,Peanut Hulls; Goober Hulls,,,,,,,Arachis hypogaea,http://purl.obolibrary.org/obo/NCBITaxon_3818,,,,,wfo-0000174378,https://www.feedipedia.org/node/12155,0142,No match,Groundnuts,,Arachis hypogaea Hull,Groundnut Hull,FEED0433,,,Arachis hypogaea Hull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Husk/Groundnut Husk Ground,AOM_000606,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Groundnut,Groundnut Husk,Groundnut Husk Ground,Groundnut Husk Ground,Peanut Husk Powder; Goober Husk Powder,,,,,,,Arachis hypogaea,http://purl.obolibrary.org/obo/NCBITaxon_3818,,,,,wfo-0000174378,https://www.feedipedia.org/node/12155,0142,No match,Groundnuts,,Arachis hypogaea Husk,No Match,FEED0433,,,Arachis hypogaea Husk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Straw,AOM_006169,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Groundnut,Groundnut Residue,,Groundnut Residue,,,,,,http://aims.fao.org/aos/agrovoc/c_35679,,Arachis hypogaea,http://purl.obolibrary.org/obo/NCBITaxon_3818,,,,,wfo-0000174378,No match,0142,01913,Groundnuts,"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",Arachis hypogaea Residue,Groundnut Residue,FEED0415,,,Arachis hypogaea Residue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Shell,AOM_002249,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Groundnut,Groundnut Shell,,Groundnut Shell,,,,,,,,Arachis hypogaea,http://purl.obolibrary.org/obo/NCBITaxon_3818,,,,,wfo-0000174378,https://www.feedipedia.org/node/12155,0142,No match,Groundnuts,,Arachis hypogaea Shell,Groundnut Shell,FEED0433,,,Arachis hypogaea Shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Straw,AOM_001890,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Groundnut,Groundnut Straw,,Groundnut Straw,Peanut Straw; Goober Straw,,,,,http://aims.fao.org/aos/agrovoc/c_35679,,Arachis hypogaea,http://purl.obolibrary.org/obo/NCBITaxon_3818,,,,,wfo-0000174378,No match,0142,01913,Groundnuts,"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",Arachis hypogaea Straw,Groundnut Straw,FEED0415,,,Arachis hypogaea Straw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Veins,AOM_006278,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Groundnut,Groundnut Veins,Groundnut Veins Dried,Groundnut Veins Dried,Peanut Veins Dried,,,,,,,Arachis hypogaea,http://purl.obolibrary.org/obo/NCBITaxon_3818,,,,,wfo-0000174378,No match,0142,No match,Groundnuts,,Arachis hypogaea Veins,No Match,No Match,,,Arachis hypogaea Veins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Veins,AOM_003858,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Groundnut,Groundnut Veins,,Groundnut Veins,Peanut Veins,,,,,,,Arachis hypogaea,http://purl.obolibrary.org/obo/NCBITaxon_3818,,,,,wfo-0000174378,No match,0142,No match,Groundnuts,,Arachis hypogaea Veins,Groundnut Veins,No Match,,,Arachis hypogaea Veins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Guar Bean/Guar Gum Ground,AOM_001366,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Guar Bean,Guar Gum Ground,,Guar Gum Ground,Guar Bean Gum Meal; Guar Bean Gum Milled,,,,,,,Cyamopsis tetragonoloba,http://purl.obolibrary.org/obo/NCBITaxon_3832,,,,,wfo-0000189996,https://www.feedipedia.org/node/11697,No match,No match,,,Cyamopsis tetragonoloba,No Match,No Match,,,Cyamopsis tetragonoloba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Haricot Bean/Haricot Bean Vine,AOM_004000,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Haricot Bean,Haricot Bean Vine,,Haricot Bean Vine,,,,,,,,Phaseolus vulgaris,http://purl.obolibrary.org/obo/NCBITaxon_3885 ,,,,,wfo-0000207144,No match,No match,No match,,,Phaseolus vulgaris Vine,Haricot Bean Vine,No Match,,,Phaseolus vulgaris Vine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Lentil/Lentil Screening,AOM_004111,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Lentil,Lentil Screening,,Lentil Screening,,,,,,,,Lens culinaris,http://purl.obolibrary.org/obo/NCBITaxon_3864 ,,,,,wfo-0000212711,https://www.feedipedia.org/node/12249,,,,,Lens culinaris Screening,Lentil Screening,No Match,,,Lens culinaris Screening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Lima Bean/Lima Bean Vein,AOM_006224,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Lima Bean,Lima Bean Vein,Lima Bean Vein Dried,Lima Bean Vein Dried,,,,,,,,Phaseolus lunatus,http://purl.obolibrary.org/obo/NCBITaxon_3884 ,,,,,wfo-0000183263,No match,No match,No match,,,Phaseolus lunatus Vein,No Match,No Match,,,Phaseolus lunatus Vein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Lima Bean/Lima Bean Vein,AOM_003929,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Lima Bean,Lima Bean Vein,,Lima Bean Vein,,,,,,,,Phaseolus lunatus,http://purl.obolibrary.org/obo/NCBITaxon_3884 ,,,,,wfo-0000183263,No match,No match,No match,,,Phaseolus lunatus Vein,Lima Bean Vein,No Match,,,Phaseolus lunatus Vein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Mung Bean/Mung Bean Haulm,AOM_002218,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Mung Bean,Mung Bean Haulm,,Mung Bean Haulm,,,,,,,,Vigna radiata,http://purl.obolibrary.org/obo/NCBITaxon_157791,,,,,wfo-0000183493,https://www.feedipedia.org/node/12351,No match,No match,,,Vigna radiata Haulm,Mung Bean Haulm,No Match,,,Vigna radiata Haulm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Mung Bean,AOM_002217,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Mung Bean,,,Mung Bean,,,,,,,,Vigna radiata,http://purl.obolibrary.org/obo/NCBITaxon_157791,,,,,wfo-0000183493,https://www.feedipedia.org/node/235,No match,No match,,,Vigna radiata,Mung Bean,No Match,,,Vigna radiata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Pea/Pea Seed Hull,AOM_000608,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Pea,Pea Seed Hull,,Pea Seed Hull,Garden Pea Seed Hulls,,,,,,,Pisum sativum,http://purl.obolibrary.org/obo/NCBITaxon_3888,,,,,wfo-0000212718,No match,01705,No match,"Peas, dry",,Pisum sativum Seed Hull,Pea Seed Hull,FEED0458,,,Pisum sativum Seed Hull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Legume ByProducts/Pea/Pea Straw,AOM_001285,Management,Livestock Management,Feed Characteristic,Feed Composition,Feed Ingredient,Crop Byproduct,Legume ByProducts,Pea,Pea Straw,,Pea Straw,Garden Pea Straw,,,,,,,Pisum sativum,http://purl.obolibrary.org/obo/NCBITaxon_3888,,,,,wfo-0000212718,https://www.feedipedia.org/node/12929,01705,01913,"Peas, dry","Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",Pisum sativum Straw,Pea Straw,FEED0411,,,Pisum sativum Straw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
